Observation;aaaa;bbbb;cccc;dddd;eeee;ffff;gggg
1;11.9;41.7;4.1;3.9;13.4;16.5;12.3
2;7.2;13.5;3.0;2.6;9.7;7.5;8.7
3;9.7;43.9;6.4;6.9;7.4;20.0;6.9
4;7.6;66.3;2.5;1.7;3.8;12.4;4.7
5;16.4;50.4;5.1;7.0;6.8;18.4;5.2
6;9.1;25.2;3.3;2.8;4.6;10.7;5.5
7;4.0;8.5;1.3;1.3;2.4;4.9;3.1
8;9.5;38.7;2.2;4.1;5.5;17.0;4.4
9;6.4;10.3;2.6;1.4;7.4;24.6;5.7
10;5.7;30.4;1.8;4.1;6.3;9.4;5.3
11;10.3;61.8;4.2;4.5;11.8;10.0;9.6
12;9.0;39.2;6.9;6.7;16.3;16.0;13.4
13;9.8;14.3;4.3;2.5;5.6;7.2;7.6
14;7.3;9.6;2.5;3.2;5.6;7.9;7.1
15;6.9;16.8;1.8;1.8;7.4;37.7;6.2
16;10.9;14.6;2.7;3.4;7.3;17.6;7.6
17;8.3;11.9;2.5;2.8;5.3;8.7;6.2
18;7.7;73.6;3.3;4.8;7.9;11.1;8.3
19;8.4;20.2;2.3;3.8;8.2;10.3;7.6
20;9.3;44.5;3.0;2.6;4.7;6.7;5.6
21;11.4;29.1;9.8;6.1;46.7;47.9;18.3
22;9.9;12.7;3.7;3.4;7.3;15.0;12.1
23;14.1;20.2;6.2;17.9;18.6;78.9;18.7
24;10.0;15.4;3.7;4.0;10.6;63.6;9.2
25;9.9;19.0;7.6;8.2;15.4;43.5;15.2
26;8.0;20.0;3.2;6.0;9.5;29.6;10.0
27;9.8;27.4;10.5;8.7;10.4;42.3;13.1
28;8.9;32.5;3.4;12.3;13.1;39.2;12.5
29;10.5;65.4;5.4;36.2;68.8;67.7;25.2
30;9.9;21.5;4.6;10.2;27.4;43.1;12.8
31;42.8;39.7;6.7;28.7;42.7;59.7;33.5
32;9.2;38.8;3.8;4.9;16.4;66.2;13.8
33;10.7;55.9;9.2;5.6;25.5;25.3;41.3
34;12.8;58.9;5.9;10.7;29.4;74.3;18.2
35;9.5;28.3;7.0;4.9;13.1;26.6;13.5
36;11.9;43.2;3.8;5.5;13.0;25.8;12.0
37;11.4;16.4;2.4;3.3;5.2;15.0;5.9
38;9.2;41.6;3.5;5.2;13.2;27.8;8.2
39;9.8;68.1;3.7;4.3;11.5;24.4;12.7
40;10.2;57.6;16.7;6.2;20.6;26.0;18.8